filename,carton box,cracked carton box,opened carton box,wet carton box
20_jpg.rf.6176bff539c634071e4b5c90357cca50.jpg,0,0,1,0
637-jpg__jpg-jpganti-clockwise_jpg.rf.6363b33fdab1c7c294a14844c765f5c6.jpg,0,0,0,1
20-jpg__jpg_jpg.rf.612a5c0239e1658d1b617d4ba0ecc4b8.jpg,0,1,0,0
689-jpg__jpg-jpganti-clockwise_jpg.rf.6188e42f68f16926dccdfeb3ce9ef232.jpg,1,0,0,0
79_jpg.rf.6230f9f02740ab676a88b25053c14f09.jpg,0,0,0,1
114-jpg__jpg-jpganti-clockwise_jpg.rf.61aac0864032695f30c6e767711cf37c.jpg,0,1,0,0
31_jpg.rf.60f2a280c40a4dde2bf531d09c498da8.jpg,0,0,1,0
320-jpg__jpg_jpg.rf.620699bcb25658c70214e79328a706c5.jpg,0,0,1,0
305-jpg__jpg-jpganti-clockwise_jpg.rf.61dca8e0850924a02ef6e9e6cf504f52.jpg,1,0,0,0
470-jpg__jpg-jpganti-clockwise_jpg.rf.617d9483a6ea83fd4e49eee75025a794.jpg,0,0,1,0
140-jpg__jpg-jpganti-clockwise_jpg.rf.62490e8647b26e9e70539b133a983c66.jpg,0,1,0,0
103-jpg__jpg-jpganti-clockwise_jpg.rf.633c2b8dd1e9269a9ac1cc0623b05bc2.jpg,1,0,0,0
166-jpg__jpg-jpganti-clockwise_jpg.rf.62be8fa28c1a70211a5b6e8378fcd165.jpg,1,0,0,0
97-jpg__jpg_jpg.rf.628dae4e26337a72b884ce6244ba6f05.jpg,1,0,0,0
107_jpg.rf.63ea80055f7586364f3b8e2680181669.jpg,0,1,0,0
21_jpg.rf.62de875923f86f56d04992241428ffd7.jpg,0,1,0,0
408-jpg__jpg-jpganti-clockwise_jpg.rf.6323f5e6b41a33350f53061a657e4dbb.jpg,1,0,0,0
462-jpg__jpg_jpg.rf.62e609fe0a0bc83e9a45bcf03c0c6cba.jpg,1,0,0,0
308-png__jpg_jpg.rf.6356a92d7395a50e909c8cc9884789be.jpg,0,1,0,1
497-jpg__jpg_jpg.rf.63ac90b045a8a8d7b9a96b1686d60b38.jpg,0,1,0,0
527-jpganti-clockwise_jpg.rf.639c5287a35bfea6b619d3489f7db973.jpg,0,1,0,0
346-jpg__jpg-jpganti-clockwise_jpg.rf.63a54c5e266ecd25b10fb5a5582c90b6.jpg,1,0,0,0
255-jpg__jpg-jpganti-clockwise_jpg.rf.636092ec7b8831eb539c798b5f8be2c4.jpg,0,0,0,1
381-jpg__jpg-jpganti-clockwise_jpg.rf.640154b4d2193e4df3d334a3403eabd5.jpg,1,0,0,0
526_jpg.rf.632dd1536b4224fdeec620703b020e2f.jpg,0,1,0,0
77-jpg__jpg_jpg.rf.636de8e0b7105b492c37db75ed50dc60.jpg,1,0,0,0
99_jpg.rf.63b7bb48aa4dc7db096fd28b45eceadf.jpg,0,0,0,1
66-jpg__jpg_jpg.rf.63fa8e59caf424a970c8ccb9072662a4.jpg,1,0,0,0
345-jpg__jpg-jpganti-clockwise_jpg.rf.60e02488e44ba587c0031ffaf53a588a.jpg,0,0,1,0
231-jpg__jpg-jpganti-clockwise_jpg.rf.6349dd80e557845ac6bdff908e1134e5.jpg,0,1,0,0
189-jpg__jpg-jpganti-clockwise_jpg.rf.612128b1710455359fa87f5d2ce5b206.jpg,0,1,0,0
294-png__jpg-jpganti-clockwise_jpg.rf.638c0075a2619f7275d9a64b8d5b0155.jpg,1,0,0,0
511-jpg__jpg_jpg.rf.63b05bbbb7d16e4d983179f110851902.jpg,1,0,0,0
420-jpg__jpg_jpg.rf.60e66df4ace00efed1c6412163bf0ae4.jpg,0,0,1,0
7-jpg__jpg-jpganti-clockwise_jpg.rf.642e953570be85d1e092f2dec6c69687.jpg,1,0,0,0
118_jpg.rf.644c93d27fa99618bd5f5937fa3188b6.jpg,0,0,0,1
620-jpg__jpg-jpganti-clockwise_jpg.rf.643e358710597deaf454a493fcc6c0df.jpg,0,1,0,0
42-jpg__jpg-jpganti-clockwise_jpg.rf.645a1622d5a93158d508506750b1d886.jpg,0,1,0,0
670-jpg__jpg_jpg.rf.643ee12433716a31afca6d93aa5a04e5.jpg,1,0,0,0
327-jpg__jpg-jpganti-clockwise_jpg.rf.61e7c5ed22b9e713434fe6646e6bde4c.jpg,1,0,0,0
470-jpg__jpg_jpg.rf.64749a788fb235a2cfdb28e43e2a3ca4.jpg,0,0,1,0
527-jpganti-clockwise_jpg.rf.64af46dd25e186d79369a6f7a7992ed3.jpg,0,1,0,0
313-jpg__jpg_jpg.rf.64b1c43d87134a84175c15514fb72a26.jpg,1,0,0,0
619-jpg__jpg-jpganti-clockwise_jpg.rf.6481ed876603f289704693a3de1684b5.jpg,0,1,0,0
481-jpg__jpg-jpganti-clockwise_jpg.rf.658a4ef8365db10d0fb3096dbe5a8f5c.jpg,1,1,1,0
85-jpg__jpg_jpg.rf.656f65e43253132ef81e9af0fa7c3690.jpg,1,0,0,0
672-jpg__jpg_jpg.rf.64e103cf69ae68c6b55865186475527a.jpg,1,0,1,0
646-jpg__jpg-jpganti-clockwise_jpg.rf.64d67b17930134c0b98da5a087274ec1.jpg,0,1,0,1
